"Name","Number","Full name","Calculated value (cm)","Formula (cm)"
"neck_side_to_bust_side_b","K13","Neck Side to Bust Side, back","0","0"
"arm_shoulder_tip_to_armfold_line","L16","Arm: Shoulder Tip to Armfold line","0","0"
"arm_neck_side_to_wrist","L17","Arm: Neck Side to Wrist","0","(shoulder_length + arm_shoulder_tip_to_wrist)"
"arm_neck_side_to_finger_tip","L18","Arm: Neck Side to Finger Tip","0","(shoulder_length + arm_shoulder_tip_to_wrist + hand_length)"
"armscye_length","L20","Armscye: Length","0","0"
"armscye_width","L21","Armscye: Width","0","0"
"arm_neck_side_to_outer_elbow","L22","Arm: Neck side to Elbow","0","(shoulder_length + arm_shoulder_tip_to_elbow)"
"leg_crotch_to_floor","M01","Leg: Crotch to floor","0","0"
"leg_waist_side_to_floor","M02","Leg: Waist Side to floor","0","0"
"leg_thigh_upper_circ","M03","Leg: Thigh Upper circumference","0","0"
"leg_thigh_mid_circ","M04","Leg: Thigh Middle circumference","0","0"
"leg_knee_circ","M05","Leg: Knee circumference","0","0"
"leg_knee_small_circ","M06","Leg: Knee Small circumference","0","0"
"leg_calf_circ","M07","Leg: Calf circumference","0","0"
"leg_ankle_high_circ","M08","Leg: Ankle High circumference","0","0"
"leg_ankle_circ","M09","Leg: Ankle circumference","0","0"
"leg_knee_circ_bent","M10","Leg: Knee circumference, bent","0","0"
"leg_ankle_diag_circ","M11","Leg: Ankle diagonal circumference","0","0"
"leg_crotch_to_ankle","M12","Leg: Crotch to Ankle","0","(leg_crotch_to_floor - height_ankle)"
"leg_waist_side_to_ankle","M13","Leg: Waist Side to Ankle","0","(leg_waist_side_to_floor - height_ankle)"
"leg_waist_side_to_knee","M14","Leg: Waist Side to Knee","0","(leg_waist_side_to_floor - height_knee)"
"crotch_length","N01","Crotch length","0","0"
"crotch_length_b","N02","Crotch length, back","0","0"
"crotch_length_f","N03","Crotch length, front","0","(crotch_length - crotch_length_b)"
"rise_length_side_sitting","N04","Rise length, side, sitting","0","0"
"rise_length_diag","N05","Rise length, diagonal","0","0"
"rise_length_b","N06","Rise length, back","0","(height_waist_back - leg_crotch_to_floor)"
"rise_length_f","N07","Rise length, front","0","(height_waist_front - leg_crotch_to_floor)"
"rise_length_side","N08","Rise length, side","0","0"
"neck_back_to_waist_front","O01","Neck Back to Waist Front","0","0"
"waist_to_waist_halter","O02","Waist to Waist Halter, around Neck Back","0","0"
"waist_natural_circ","O03","Natural Waist circumference","0","0"
"waist_natural_arc_f","O04","Natural Waist arc, front","0","0"
"waist_natural_arc_b","O05","Natural Waist arc, back","0","(waist_natural_circ - waist_natural_arc_f)"
"waist_to_natural_waist_f","O06","Waist Front to Natural Waist Front","0","0"
"waist_to_natural_waist_b","O07","Waist Back to Natural Waist Back","0","0"
"arm_neck_back_to_elbow_bent","O08","Arm: Neck Back to Elbow, high bend","0","0"
"arm_neck_back_to_wrist_bent","O09","Arm: Neck Back to Wrist, high bend","0","0"
"arm_neck_side_to_elbow_bent","O10","Arm: Neck Side to Elbow, high bend","0","0"
"arm_neck_side_to_wrist_bent","O11","Arm: Neck Side to Wrist, high bend","0","0"
"arm_across_back_center_to_elbow_bent","O12","Arm: Across Back Center to Elbow, high bend","0","0"
"arm_across_back_center_to_wrist_bent","O13","Arm: Across Back Center to Wrist, high bend","0","0"
"arm_armscye_back_center_to_wrist_bent","O14","Arm: Armscye Back Center to Wrist, high bend","0","0"
"neck_back_to_armfold_front","P02","Neck Back to Armfold Front","0","0"
"highbust_back_over_shoulder_to_armfold_front","P04","Highbust Back, over Shoulder, to Armfold Front","0","0"
"highbust_back_over_shoulder_to_waist_front","P05","Highbust Back, over Shoulder, to Waist Front","0","0"
"neck_back_to_armfold_front_to_neck_back","P06","Neck Back, to Armfold Front, to Neck Back","0","0"
"across_back_center_to_armfold_front_to_across_back_center","P07","Across Back Center, circled around Shoulder","0","0"
"neck_back_to_armfold_front_to_highbust_back","P08","Neck Back, to Armfold Front, to Highbust Back","0","0"
"armfold_to_armfold_bust","P09","Armfold to Armfold, front, curved through Bust Front","0","0"
"armfold_to_bust_front","P10","Armfold to Bust Front","0","0"
"highbust_b_over_shoulder_to_highbust_f","P11","Highbust Back, over Shoulder, to Highbust level","0","0"
"armscye_arc","P12","Armscye: Arc","0","0"
"dart_width_waist","Q03","Dart Width: Waist","0","0"
"armscye_circ","L19","Armscye: Circumference","43","43"
"bust_circ","G04","Bust circumference","113","113"
"width_shoulder","B01","Width: Shoulder","0","0"
"width_bust","B02","Width: Bust","0","0"
"width_waist","B03","Width: Waist","0","0"
"width_hip","B04","Width: Hip","0","0"
"width_abdomen_to_hip","B05","Width: Abdomen to Hip","0","0"
"head_circ","F01","Head: Circumference","57","57"
"neck_front_to_waist_f","H01","Neck Front to Waist Front","58","58"
"shoulder_length","I01","Shoulder length","10.5","10.5"
"across_chest_f","I03","Across Chest","33","33"
"armfold_to_armfold_f","I04","Armfold to Armfold, front","38","38"
"bustpoint_to_bustpoint","J01","Bustpoint to Bustpoint","24.5","24.5"
"bustpoint_to_neck_side","J02","Bustpoint to Neck Side","32","32"
"bustpoint_to_lowbust","J03","Bustpoint to Lowbust","10","10"
"bustpoint_to_waist","J04","Bustpoint to Waist level","39","39"
"bustpoint_to_bustpoint_half","J05","Bustpoint to Bustpoint, half","12.25","(bustpoint_to_bustpoint/2)"
"arm_shoulder_tip_to_wrist_bent","L01","Arm: Shoulder Tip to Wrist, bent","63","63"
"arm_shoulder_tip_to_elbow_bent","L02","Arm: Shoulder Tip to Elbow, bent","34","34"
"arm_elbow_to_wrist_bent","L03","Arm: Elbow to Wrist, bent","29","(arm_shoulder_tip_to_wrist_bent - arm_shoulder_tip_to_elbow_bent)"
"arm_elbow_circ_bent","L04","Arm: Elbow circumference, bent","26.5","26.5"
"arm_shoulder_tip_to_wrist","L05","Arm: Shoulder Tip to Wrist","61","61"
"arm_shoulder_tip_to_elbow","L06","Arm: Shoulder Tip to Elbow","32","32"
"arm_elbow_to_wrist","L07","Arm: Elbow to Wrist","29","(arm_shoulder_tip_to_wrist - arm_shoulder_tip_to_elbow)"
"arm_armpit_to_wrist","L08","Arm: Armpit to Wrist, inside","46.5","46.5"
"arm_armpit_to_elbow","L09","Arm: Armpit to Elbow, inside","23","23"
"arm_elbow_to_wrist_inside","L10","Arm: Elbow to Wrist, inside","23.5","(arm_armpit_to_wrist - arm_armpit_to_elbow)"
"arm_upper_circ","L11","Arm: Upper Arm circumference","37","37"
"arm_above_elbow_circ","L12","Arm: Above Elbow circumference","33","33"
"arm_elbow_circ","L13","Arm: Elbow circumference","24","24"
"arm_lower_circ","L14","Arm: Lower Arm circumference","24.5","24.5"
"arm_wrist_circ","L15","Arm: Wrist circumference","14.5","14.5"
"neck_back_to_bust_front","P01","Neck Back to Bust Front","0","0"
"neck_back_to_armfold_front_to_waist_side","P03","Neck Back, over Shoulder, to Waist Side","0","0"
"dart_width_shoulder","Q01","Dart Width: Shoulder","0","0"
"dart_width_bust","Q02","Dart Width: Bust","0","0"
"neck_width","I14","Neck Width","19","19"
